Year,Make,Model,Used/New,Price,ConsumerRating,ConsumerReviews,Drivetrain,MinMPG,MaxMPG,FuelType,Mileage
2018,nissan,roguesl,used,21690,4.7,415,awd,25,32,gasoline,75290
2021,volkswagen,atlas3.6lselpremium,used,47990,4.8,42,awd,16,22,gasoline,17123
2020,acura,tlxfwd,certified,31290,4.9,32,fwd,23,33,gasoline,37033
2019,toyota,4runnerlimited,used,46079,4.8,189,4wd,17,20,gasoline,16854
2018,toyota,rav4xle,used,28998,4.8,770,fwd,23,30,gasoline,17590
2019,honda,accordex-l1.5t,used,20900,4.7,223,fwd,30,38,gasoline,75592
2020,mercedes-benz,gle350base4matic,used,53967,4.3,75,awd,19,26,gasoline,31179
2019,bmw,330i,used,39597,4.9,30,rwd,26,36,gasoline,19377
2019,bmw,x3m40i,used,47997,4.7,99,awd,20,27,gasoline,33855
2021,audi,q345slinepremium,used,44561,5.0,8,awd,20,28,gasoline,12051
2021,audi,q345slinepremium,used,44591,5.0,8,awd,20,28,gasoline,13109
2019,mercedes-benz,glc300base4matic,certified,40565,4.6,72,awd,22,27,gasoline,19782
2021,bmw,x5phevxdrive45e,used,71000,4.6,5,awd,0,0,hybrid,10500
2021,genesis,gv802.5t,used,52541,4.8,19,rwd,21,25,gasoline,6914
2018,audi,s53.0tprestige,used,44850,4.7,42,awd,21,30,gasoline,49950
2019,honda,pilotex-l,used,36498,4.8,223,fwd,19,27,gasoline,36790
2019,mercedes-benz,glc300base4matic,used,37500,4.6,72,awd,22,27,gasoline,10662
2020,chevrolet,sparkls,used,13989,4.7,39,fwd,30,38,gasoline,14035
2019,hyundai,elantrase,used,21998,4.7,132,fwd,29,38,gasoline,11326
2019,hyundai,elantrase,used,18997,4.7,132,fwd,29,38,gasoline,43148
2015,chevrolet,suburban1500lt,used,32495,4.6,77,4wd,15,22,gasoline,89990
2012,mercedes-benz,s-classs5504matic,used,25695,4.8,36,awd,15,24,gasoline,59725
2020,nissan,frontierpro-4x,used,38700,4.6,31,4wd,17,23,gasoline,11510
2018,honda,accordex-l1.5t,used,18985,4.8,652,fwd,30,38,gasoline,87091
2019,jeep,grandcherokeelimited,used,35500,4.8,224,4wd,18,25,gasoline,32858
2019,mazda,cx-5grandtouring,used,27491,4.8,230,fwd,25,31,gasoline,23639
2010,bmw,128128i,used,8999,4.7,10,rwd,18,28,gasoline,94876
2016,land,roverrangerover,used,49989,4.8,29,4wd,14,19,gasoline,73178
2011,ford,f-150lariat,used,19995,4.5,262,4wd,0,0,e85 flex fuel,141281
2004,lexus,ls430base(a6),used,14290,4.8,44,rwd,18,25,gasoline,90908
2020,lexus,rx350base,used,47455,4.8,76,awd,19,26,gasoline,17212
2016,audi,a73.0tprestige,used,47940,4.7,27,awd,20,30,gasoline,21603
2020,mazda,mazda6sport,used,30916,4.9,22,fwd,23,31,gasoline,35332
2016,hyundai,sonatahybridse,used,18375,4.8,31,fwd,40,44,hybrid,72278
2017,alfa,romeogiuliati,used,29900,4.7,98,awd,23,31,gasoline,22855
2019,mercedes-benz,cla250base,certified,30495,4.1,17,fwd,24,37,gasoline,30820
2017,toyota,corollale,used,13899,4.7,381,fwd,28,36,gasoline,54898
2016,acura,mdx3.5lw/technologypackage,used,19900,4.6,114,fwd,19,27,gasoline,71815
2016,nissan,roguesv,certified,19998,4.5,317,awd,25,32,gasoline,74430
2019,honda,civiclx,used,23845,4.9,275,fwd,0,38,gasoline,29879
2008,lexus,rx350base(a5),used,11995,4.6,79,awd,17,22,gasoline,90958
2019,honda,odysseyex-l,certified,38310,4.6,133,fwd,19,28,gasoline,14494
2019,bmw,x5xdrive40i,used,56998,4.7,55,awd,20,26,gasoline,18031
2020,acura,ilxpremium&a-specpackages,used,30885,4.5,16,fwd,24,34,gasoline,29085
2006,toyota,highlanderlimitedw/3rdrow,used,11995,4.7,57,4wd,18,24,gasoline,96442
2019,bmw,m550ixdrive,used,44718,4.5,3,awd,18,25,gasoline,38336
2019,subaru,forester,certified,27977,4.7,279,awd,26,33,gasoline,12679
2019,subaru,forester,used,23990,4.7,279,awd,26,33,gasoline,10460
2020,bmw,m4base,used,72735,4.9,1,rwd,18,25,gasoline,6626
2019,volkswagen,tiguan2.0tse,certified,26496,4.5,136,awd,21,29,gasoline,28601
2021,cadillac,xt6premiumluxuryawd,used,59998,4.9,9,awd,18,25,gasoline,10932
2020,chevrolet,blazerpremier,used,48998,4.7,67,fwd,19,26,gasoline,11843
2019,honda,cr-vex-l,used,29875,4.8,540,fwd,28,34,gasoline,21868
2012,porsche,911targa4,used,72998,4.8,37,awd,18,25,gasoline,41198
2019,mercedes-benz,c-classc300,certified,33185,4.8,40,rwd,23,34,gasoline,35825
